Rk	Name  		Age	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
1	Pascal Siakam	25	60	60	2110	500	1104	.453	131	365	.359	369	739	.499	.512	240	303	.792	64	375	439	207	61	53	148	170	1371
2	Kyle Lowry	33	58	58	2098	334	803	.416	164	466	.352	170	337	.504	.518	294	343	.857	32	260	292	433	82	26	178	190	1126
3	OG Anunoby	22	69	68	2066	286	566	.505	89	228	.390	197	338	.583	.584	72	102	.706	80	284	364	108	96	45	79	167	733
4	Fred VanVleet	25	54	54	1928	319	773	.413	146	374	.390	173	399	.434	.507	168	198	.848	18	185	203	357	100	17	121	132	952
5	Serge Ibaka	30	55	27	1485	343	670	.512	70	182	.385	273	488	.559	.564	89	124	.718	114	338	452	77	28	46	109	153	845
6	Norman Powell	26	52	26	1479	296	598	.495	109	273	.399	187	325	.575	.586	129	153	.843	26	164	190	91	60	21	77	108	830
7	Terence Davis	22	72	4	1209	199	436	.456	94	242	.388	105	194	.541	.564	51	59	.864	50	187	237	115	39	14	76	124	543
8	Marc Gasol	35	44	43	1161	119	279	.427	57	148	.385	62	131	.473	.529	36	49	.735	31	244	275	147	34	38	59	124	331
9	Rondae Hollis-Jefferson	25	60	6	1122	155	329	.471	3	23	.130	152	306	.497	.476	105	143	.734	110	173	283	106	46	23	59	115	418
10	Patrick McCaw	24	37	12	908	67	162	.414	23	71	.324	44	91	.484	.485	13	18	.722	19	67	86	79	39	4	29	60	170
11	Chris Boucher	27	62	0	819	141	299	.472	38	118	.322	103	181	.569	.535	91	116	.784	107	170	277	26	22	61	28	114	411
12	Matt Thomas	25	41	1	440	73	150	.487	47	99	.475	26	51	.510	.643	9	12	.750	9	52	61	22	10	1	16	38	202
13	Malcolm Miller	26	28	1	162	12	29	.414	8	22	.364	4	7	.571	.552	3	8	.375	2	14	16	11	5	2	4	18	35
14	Stanley Johnson	23	25	0	150	22	59	.373	7	24	.292	15	35	.429	.432	9	16	.563	7	30	37	20	6	4	15	16	60
15	Oshae Brissett	21	19	0	135	13	36	.361	3	15	.200	10	21	.476	.403	8	10	.800	9	17	26	7	4	1	7	18	37
16	Paul Watson	25	8	0	70	10	19	.526	4	9	.444	6	10	.600	.632	7	9	.778	2	13	15	5	3	1	3	4	31
17	Dewan Hernandez	23	6	0	28	5	14	.357	1	2	.500	4	12	.333	.393	3	5	.600	5	9	14	3	1	0	3	6	14
18	Shamorie Ponds	21	4	0	11	3	5	.600	1	2	.500	2	3	.667	.700	2	2	1.000	0	1	1	2	0	1	0	2	9

Team Totals		72		17380	2897	6331	.458	995	2663	.374	1902	3668	.519	.536	1329	1670	.796	685	2583	3268	1816	636	358	1067	1559	8118
